User-ID;ISBN;Book-Rating;Book-Title;Book-Author;Year-Of-Publication;City;State;Country;AgeGroup;content
277203;0394800028;9;The Cat in the Hat Comes Back (I Can Read It All by Myself Beginner Books);Dr. Seuss;1958;olympia;washington;usa;Teen;The Cat in the Hat Comes Back (I Can Read It All by Myself Beginner Books) Dr. Seuss 1958
277203;0394800184;9;Are You My Mother?;Philip D. Eastman;1960;olympia;washington;usa;Teen;Are You My Mother? Philip D. Eastman 1960
277203;039480029X;8;Hop on Pop (I Can Read It All by Myself Beginner Books);Dr. Seuss;1963;olympia;washington;usa;Teen;Hop on Pop (I Can Read It All by Myself Beginner Books) Dr. Seuss 1963
277203;039480967X;8;"Bears on Wheels (Bright &amp; Early Books)";STAN BERENSTAIN;1969;olympia;washington;usa;Teen;"Bears on Wheels (Bright &amp; Early Books) STAN BERENSTAIN 1969"
277203;0717283364;8;Jungle Book;Walt Disney;0;olympia;washington;usa;Teen;Jungle Book Walt Disney 0
277203;0717284832;8;101 Dalmatians;Walt Disney;1995;olympia;washington;usa;Teen;101 Dalmatians Walt Disney 1995
277427;002542730X;10;Politically Correct Bedtime Stories: Modern Tales for Our Life and Times;James Finn Garner;1994;gilbert;arizona;usa;Middle Age;Politically Correct Bedtime Stories: Modern Tales for Our Life and Times James Finn Garner 1994
277427;0060542128;7;When the Storm Breaks;Heather Lowell;2003;gilbert;arizona;usa;Middle Age;When the Storm Breaks Heather Lowell 2003
277427;0061009059;9;One for the Money (Stephanie Plum Novels (Paperback));Janet Evanovich;1995;gilbert;arizona;usa;Middle Age;One for the Money (Stephanie Plum Novels (Paperback)) Janet Evanovich 1995
277427;0152050167;10;The Whale Rider;Witi Ihimaera;2003;gilbert;arizona;usa;Middle Age;The Whale Rider Witi Ihimaera 2003
277427;0316776963;8;Me Talk Pretty One Day;David Sedaris;2001;gilbert;arizona;usa;Middle Age;Me Talk Pretty One Day David Sedaris 2001
277427;0345413903;10;The Murder Book;Jonathan Kellerman;2003;gilbert;arizona;usa;Middle Age;The Murder Book Jonathan Kellerman 2003
277427;0380702843;8;The Return of the Indian (Indian in the Cupboard);Lynne Reid Banks;1999;gilbert;arizona;usa;Middle Age;The Return of the Indian (Indian in the Cupboard) Lynne Reid Banks 1999
277427;0380791978;9;The Family Tree;Sheri S. Tepper;1998;gilbert;arizona;usa;Middle Age;The Family Tree Sheri S. Tepper 1998
277427;0385424736;9;The Rainmaker;John Grisham;1995;gilbert;arizona;usa;Middle Age;The Rainmaker John Grisham 1995
277427;0385486804;9;Into the Wild;Jon Krakauer;1997;gilbert;arizona;usa;Middle Age;Into the Wild Jon Krakauer 1997
277427;0385503857;9;Oryx and Crake;Margaret Atwood;2003;gilbert;arizona;usa;Middle Age;Oryx and Crake Margaret Atwood 2003
277427;0385504209;8;The Da Vinci Code;Dan Brown;2003;gilbert;arizona;usa;Middle Age;The Da Vinci Code Dan Brown 2003
277427;039304016X;8;The Perfect Storm: A True Story of Men Against the Sea;Sebastian Junger;1997;gilbert;arizona;usa;Middle Age;The Perfect Storm: A True Story of Men Against the Sea Sebastian Junger 1997
277427;0399501487;9;Lord of the Flies;William Gerald Golding;1959;gilbert;arizona;usa;Middle Age;Lord of the Flies William Gerald Golding 1959
277427;0425104338;9;Stephen King's Danse Macabre;Stephen King;1997;gilbert;arizona;usa;Middle Age;Stephen King's Danse Macabre Stephen King 1997
277427;0425116840;8;The Cardinal of the Kremlin (Jack Ryan Novels);Tom Clancy;1989;gilbert;arizona;usa;Middle Age;The Cardinal of the Kremlin (Jack Ryan Novels) Tom Clancy 1989
277427;0425133516;9;The Hunt for Red October (Jack Ryan Novels);Tom Clancy;1997;gilbert;arizona;usa;Middle Age;The Hunt for Red October (Jack Ryan Novels) Tom Clancy 1997
277427;0440185327;5;Thurston House;Danielle Steel;1984;gilbert;arizona;usa;Middle Age;Thurston House Danielle Steel 1984
277427;0440224764;7;The Partner;John Grisham;1998;gilbert;arizona;usa;Middle Age;The Partner John Grisham 1998
277427;0440236061;8;Unfit to Practice;Perri O'Shaughnessy;2003;gilbert;arizona;usa;Middle Age;Unfit to Practice Perri O'Shaughnessy 2003
277427;0440236738;9;Gone for Good;HARLAN COBEN;2003;gilbert;arizona;usa;Middle Age;Gone for Good HARLAN COBEN 2003
277427;0441627404;10;The Once and Future King;T. H. White;1987;gilbert;arizona;usa;Middle Age;The Once and Future King T. H. White 1987
277427;0446350982;9;Presumed Innocent;Scott Turow;1988;gilbert;arizona;usa;Middle Age;Presumed Innocent Scott Turow 1988
277427;0446600415;10;The Day After Tomorrow;Allan Folsom;1995;gilbert;arizona;usa;Middle Age;The Day After Tomorrow Allan Folsom 1995
277427;0446608890;10;Saving Faith;David Baldacci;2000;gilbert;arizona;usa;Middle Age;Saving Faith David Baldacci 2000
277427;0451191153;8;The Fountainhead;Ayn Rand;1996;gilbert;arizona;usa;Middle Age;The Fountainhead Ayn Rand 1996
277427;0451203593;10;24 Hours;Greg Iles;2001;gilbert;arizona;usa;Middle Age;24 Hours Greg Iles 2001
277427;0452284449;6;The Virgin Blue;Tracy Chevalier;2003;gilbert;arizona;usa;Middle Age;The Virgin Blue Tracy Chevalier 2003
277427;0553280368;9;C Is for Corpse (Kinsey Millhone Mysteries (Paperback));Sue Grafton;1987;gilbert;arizona;usa;Middle Age;C Is for Corpse (Kinsey Millhone Mysteries (Paperback)) Sue Grafton 1987
277427;0553351672;10;Doomsday Book;Connie Willis;1992;gilbert;arizona;usa;Middle Age;Doomsday Book Connie Willis 1992
277427;0553571656;10;The Beekeeper's Apprentice;LAURIE R. KING;1996;gilbert;arizona;usa;Middle Age;The Beekeeper's Apprentice LAURIE R. KING 1996
277427;0553573926;10;Vertical Run;Joseph R. Garber;1996;gilbert;arizona;usa;Middle Age;Vertical Run Joseph R. Garber 1996
277427;0553574566;9;A Monstrous Regiment of Women;LAURIE R. KING;1996;gilbert;arizona;usa;Middle Age;A Monstrous Regiment of Women LAURIE R. KING 1996
277427;0671037692;8;Long After Midnight;Ray Bradbury;2004;gilbert;arizona;usa;Middle Age;Long After Midnight Ray Bradbury 2004
277427;0671528904;8;Mindhunter : Inside the FBI's Elite Serial Crime Unit;John E. Douglas;1996;gilbert;arizona;usa;Middle Age;Mindhunter : Inside the FBI's Elite Serial Crime Unit John E. Douglas 1996
277427;0671727079;9;Winter's Tale;Mark Helprin;1990;gilbert;arizona;usa;Middle Age;Winter's Tale Mark Helprin 1990
277427;0679419853;10;A Simple Plan;Scott Smith;1993;gilbert;arizona;usa;Middle Age;A Simple Plan Scott Smith 1993
277427;0679731148;9;A Year in Provence;Peter Mayle;1991;gilbert;arizona;usa;Middle Age;A Year in Provence Peter Mayle 1991
277427;0679736042;5;Toujours Provence (Vintage Departures);Peter Mayle;1992;gilbert;arizona;usa;Middle Age;Toujours Provence (Vintage Departures) Peter Mayle 1992
277427;0740723367;9;The Meaning Of Life;Bradley Trevor Greive;2002;gilbert;arizona;usa;Middle Age;The Meaning Of Life Bradley Trevor Greive 2002
277427;0743406176;8;If Only It Were True;Marc Levy;2000;gilbert;arizona;usa;Middle Age;If Only It Were True Marc Levy 2000
277427;0743412028;9;Pay It Forward;Catherine Ryan Hyde;2000;gilbert;arizona;usa;Middle Age;Pay It Forward Catherine Ryan Hyde 2000
277427;0743422082;9;The Immaculate Deception;Iain Pears;2001;gilbert;arizona;usa;Middle Age;The Immaculate Deception Iain Pears 2001
277427;0743444477;9;Letters for Emily;Camron Wright;2003;gilbert;arizona;usa;Middle Age;Letters for Emily Camron Wright 2003
277427;0743457943;8;Trading Places;Fern Michaels;2003;gilbert;arizona;usa;Middle Age;Trading Places Fern Michaels 2003
277427;0767903382;10;Tender at the Bone: Growing Up at the Table;Ruth Reichl;1999;gilbert;arizona;usa;Middle Age;Tender at the Bone: Growing Up at the Table Ruth Reichl 1999
277427;0786866845;10;Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole;Dr. Jerri Nielsen;2001;gilbert;arizona;usa;Middle Age;Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole Dr. Jerri Nielsen 2001
277427;0811802981;10;"The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes";Nick Bantock;1993;gilbert;arizona;usa;Middle Age;"The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes Nick Bantock 1993"
277427;0811811409;10;The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis;Nick Bantock;1996;gilbert;arizona;usa;Middle Age;The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis Nick Bantock 1996
277427;0836210263;10;Still Pumped From Using The Mouse;Scott Adams;1996;gilbert;arizona;usa;Middle Age;Still Pumped From Using The Mouse Scott Adams 1996
277427;0836217691;10;Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection;Bill Watterson;1994;gilbert;arizona;usa;Middle Age;Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection Bill Watterson 1994
277427;0836218515;10;Prehistory of the Far Side;Gary Larson;1989;gilbert;arizona;usa;Middle Age;Prehistory of the Far Side Gary Larson 1989
277427;0836218817;10;Unnatural Selections;Gary Larson;1991;gilbert;arizona;usa;Middle Age;Unnatural Selections Gary Larson 1991
277427;0836221192;10;Dilbert Fugitive From The Cubicle Police;Scott Adams;1996;gilbert;arizona;usa;Middle Age;Dilbert Fugitive From The Cubicle Police Scott Adams 1996
277427;0836236688;10;Dilbert: Seven Years Of Highly Defective People (P;Scott Adams;1997;gilbert;arizona;usa;Middle Age;Dilbert: Seven Years Of Highly Defective People (P Scott Adams 1997
277427;0890876517;10;Creative Companion: How to Free Your Creative Spirit;Sark;1991;gilbert;arizona;usa;Middle Age;Creative Companion: How to Free Your Creative Spirit Sark 1991
277478;006008216X;6;Get Shorty;Elmore Leonard;2002;schiedam;zuid-holland;netherlands;Adult;Get Shorty Elmore Leonard 2002
277478;0312113420;7;James Herriot's Cat Stories;James Herriot;1994;schiedam;zuid-holland;netherlands;Adult;James Herriot's Cat Stories James Herriot 1994
277478;0312979533;7;A Place of Execution;Val McDermid;2001;schiedam;zuid-holland;netherlands;Adult;A Place of Execution Val McDermid 2001
277478;0440213320;7;Deadlock (V.I. Warshawski Novels (Paperback));SARA PARETSKY;1992;schiedam;zuid-holland;netherlands;Adult;Deadlock (V.I. Warshawski Novels (Paperback)) SARA PARETSKY 1992
277478;1558745718;8;Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul);Jack Canfield;1998;schiedam;zuid-holland;netherlands;Adult;Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul) Jack Canfield 1998
277523;0312289723;10;Ten Big Ones: A Stephanie Plum Novel;Janet Evanovich;2004;woodstock;virginia;usa;Senior;Ten Big Ones: A Stephanie Plum Novel Janet Evanovich 2004
277523;0316603570;10;3rd Degree;James Patterson;2004;woodstock;virginia;usa;Senior;3rd Degree James Patterson 2004
277523;0316693200;10;2nd Chance;James Patterson;2002;woodstock;virginia;usa;Senior;2nd Chance James Patterson 2002
277523;0345452577;10;The Conspiracy Club;JONATHAN KELLERMAN;2003;woodstock;virginia;usa;Senior;The Conspiracy Club JONATHAN KELLERMAN 2003
277523;0345452593;10;Therapy;Jonathan Kellerman;2004;woodstock;virginia;usa;Senior;Therapy Jonathan Kellerman 2004
277523;0385508042;10;The King of Torts;John Grisham;2003;woodstock;virginia;usa;Senior;The King of Torts John Grisham 2003
277523;0385510438;10;The Last Juror;John Grisham;2004;woodstock;virginia;usa;Senior;The Last Juror John Grisham 2004
277523;039915180X;10;Hidden Prey;John Sandford;2004;woodstock;virginia;usa;Senior;Hidden Prey John Sandford 2004
277523;0440241537;10;The King of Torts;JOHN GRISHAM;2003;woodstock;virginia;usa;Senior;The King of Torts JOHN GRISHAM 2003
277523;0446530891;10;Split Second;David Baldacci;2003;woodstock;virginia;usa;Senior;Split Second David Baldacci 2003
277523;0446613843;10;The Jester;James Patterson;2004;woodstock;virginia;usa;Senior;The Jester James Patterson 2004
277523;0515133302;10;Hemlock Bay;Catherine Coulter;2002;woodstock;virginia;usa;Senior;Hemlock Bay Catherine Coulter 2002
277523;0553803409;10;Firestorm (Johansen, Iris);IRIS JOHANSEN;2004;woodstock;virginia;usa;Senior;Firestorm (Johansen, Iris) IRIS JOHANSEN 2004
277523;0671886665;10;A Cry In The Night;Mary Higgins Clark;1993;woodstock;virginia;usa;Senior;A Cry In The Night Mary Higgins Clark 1993
277523;0684835983;10;Before I Say Good-Bye : A Novel;Mary Higgins Clark;2000;woodstock;virginia;usa;Senior;Before I Say Good-Bye : A Novel Mary Higgins Clark 2000
277523;0743206045;10;Daddy's Little Girl;Mary Higgins Clark;2002;woodstock;virginia;usa;Senior;Daddy's Little Girl Mary Higgins Clark 2002
277523;1558744150;10;Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper));Jack Canfield;1996;woodstock;virginia;usa;Senior;Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)) Jack Canfield 1996
277629;0374184232;4;The Laws of Our Fathers;Scott Turow;1996;pierre;south dakota;usa;Middle Age;The Laws of Our Fathers Scott Turow 1996
277629;0380018179;8;The Thorn Birds;Colleen McCullough;1978;pierre;south dakota;usa;Middle Age;The Thorn Birds Colleen McCullough 1978
277629;0385472943;8;The Runaway Jury;JOHN GRISHAM;1996;pierre;south dakota;usa;Middle Age;The Runaway Jury JOHN GRISHAM 1996
277629;0425116840;6;The Cardinal of the Kremlin (Jack Ryan Novels);Tom Clancy;1989;pierre;south dakota;usa;Middle Age;The Cardinal of the Kremlin (Jack Ryan Novels) Tom Clancy 1989
277629;0440241073;8;The Summons;John Grisham;2002;pierre;south dakota;usa;Middle Age;The Summons John Grisham 2002
277629;0671000306;7;Shock Wave (Dirk Pitt Adventures (Paperback));Clive Cussler;1996;pierre;south dakota;usa;Middle Age;Shock Wave (Dirk Pitt Adventures (Paperback)) Clive Cussler 1996
277629;0671000314;8;FLOOD TIDE;Clive Cussler;1998;pierre;south dakota;usa;Middle Age;FLOOD TIDE Clive Cussler 1998
277639;0345335058;6;Ordinary People;Judith Guest;1989;forsyth;montana;usa;Middle Age;Ordinary People Judith Guest 1989
277639;034539657X;8;Dark Rivers of the Heart;Dean R. Koontz;1995;forsyth;montana;usa;Middle Age;Dark Rivers of the Heart Dean R. Koontz 1995
277639;0380731851;6;Mystic River;Dennis Lehane;2002;forsyth;montana;usa;Middle Age;Mystic River Dennis Lehane 2002
277639;0425142485;7;The Funhouse;Dean R. Koontz;1994;forsyth;montana;usa;Middle Age;The Funhouse Dean R. Koontz 1994
277639;0425147363;8;Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback));Tom Clancy;1995;forsyth;montana;usa;Middle Age;Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)) Tom Clancy 1995
277639;042516098X;5;Hornet's Nest;Patricia Daniels Cornwell;1998;forsyth;montana;usa;Middle Age;Hornet's Nest Patricia Daniels Cornwell 1998
277639;0440211727;8;A Time to Kill;JOHN GRISHAM;1992;forsyth;montana;usa;Middle Age;A Time to Kill JOHN GRISHAM 1992
277639;0440214041;9;The Pelican Brief;John Grisham;1993;forsyth;montana;usa;Middle Age;The Pelican Brief John Grisham 1993
277639;0553297260;8;Darkness;John Saul;1992;forsyth;montana;usa;Middle Age;Darkness John Saul 1992
277639;0553579754;7;Fear Nothing;DEAN KOONTZ;1998;forsyth;montana;usa;Middle Age;Fear Nothing DEAN KOONTZ 1998
277639;0812543262;8;Relic;Douglas Preston;2003;forsyth;montana;usa;Middle Age;Relic Douglas Preston 2003
277744;0061031550;8;Triggerfish Twist;Tim Dorsey;2003;springfield;missouri;usa;Adult;Triggerfish Twist Tim Dorsey 2003
277744;0312421273;7;The Corrections: A Novel;Jonathan Franzen;2002;springfield;missouri;usa;Adult;The Corrections: A Novel Jonathan Franzen 2002
277744;0345339681;3;The Hobbit : The Enchanting Prelude to The Lord of the Rings;J.R.R. TOLKIEN;1986;springfield;missouri;usa;Adult;The Hobbit : The Enchanting Prelude to The Lord of the Rings J.R.R. TOLKIEN 1986
277744;0345377443;8;Women Who Run with the Wolves;CLARISSA PINKOLA PHD ESTES;2003;springfield;missouri;usa;Adult;Women Who Run with the Wolves CLARISSA PINKOLA PHD ESTES 2003
277744;0440235162;5;The Smoke Jumper;Nicholas Evans;2002;springfield;missouri;usa;Adult;The Smoke Jumper Nicholas Evans 2002
277744;0679416498;10;Mexico;James A. Michener;1992;springfield;missouri;usa;Adult;Mexico James A. Michener 1992
277744;0887307876;9;"The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads &amp; Other Workplace Afflictions";Scott Adams;1996;springfield;missouri;usa;Adult;"The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads &amp; Other Workplace Afflictions Scott Adams 1996"
277744;0929634063;10;50 Simple Things You Can Do to Save the Earth;Earthworks Group;1989;springfield;missouri;usa;Adult;50 Simple Things You Can Do to Save the Earth Earthworks Group 1989
277744;1551660717;8;Forbidden Fruit;Erica Spindler;1996;springfield;missouri;usa;Adult;Forbidden Fruit Erica Spindler 1996
277901;0446672211;7;Where the Heart Is (Oprah's Book Club (Paperback));Billie Letts;1998;bath;pennsylvania;usa;Adult;Where the Heart Is (Oprah's Book Club (Paperback)) Billie Letts 1998
277901;0446675059;7;The Honk and Holler Opening Soon;Billie Letts;1999;bath;pennsylvania;usa;Adult;The Honk and Holler Opening Soon Billie Letts 1999
277901;0452282152;8;Girl with a Pearl Earring;Tracy Chevalier;2001;bath;pennsylvania;usa;Adult;Girl with a Pearl Earring Tracy Chevalier 2001
277901;0679427430;8;Wouldn't Take Nothing for My Journey Now;MAYA ANGELOU;1993;bath;pennsylvania;usa;Adult;Wouldn't Take Nothing for My Journey Now MAYA ANGELOU 1993
277928;0374266441;9;Smilla's Sense of Snow;Peter Hoeg;1993;grand rapids;michigan;usa;Adult;Smilla's Sense of Snow Peter Hoeg 1993
277928;0385301499;8;Circle of Friends;Maeve Binchy;1991;grand rapids;michigan;usa;Adult;Circle of Friends Maeve Binchy 1991
277928;0553057014;7;Payment in Blood;Elizabeth George;1989;grand rapids;michigan;usa;Adult;Payment in Blood Elizabeth George 1989
277928;0679751602;10;Mama Makes Up Her Mind: And Other Dangers of Southern Living;Bailey White;1994;grand rapids;michigan;usa;Adult;Mama Makes Up Her Mind: And Other Dangers of Southern Living Bailey White 1994
277928;0804105820;9;It Was on Fire When I Lay Down on It;Robert Fulghum;1993;grand rapids;michigan;usa;Adult;It Was on Fire When I Lay Down on It Robert Fulghum 1993
277929;0553561537;9;Desire;Amanda Quick;1994;winnipeg;manitoba;canada;Adult;Desire Amanda Quick 1994
277945;0312974256;6;Welcome to Temptation;Jennifer Crusie;2001;webster groves;missouri;usa;Adult;Welcome to Temptation Jennifer Crusie 2001
277945;0312983301;6;Full Blast (Janet Evanovich's Full Series);Janet Evanovich;2004;webster groves;missouri;usa;Adult;Full Blast (Janet Evanovich's Full Series) Janet Evanovich 2004
277945;0446610550;7;The Playboy;Carly Phillips;2003;webster groves;missouri;usa;Adult;The Playboy Carly Phillips 2003
277945;0451203771;8;Scarlet Feather;Maeve Binchy;2002;webster groves;missouri;usa;Adult;Scarlet Feather Maeve Binchy 2002
277945;0515121843;7;Sea Swept (Quinn Brothers (Paperback));Nora Roberts;2001;webster groves;missouri;usa;Adult;Sea Swept (Quinn Brothers (Paperback)) Nora Roberts 2001
277945;051512317X;7;Rising Tides;Nora Roberts;2001;webster groves;missouri;usa;Adult;Rising Tides Nora Roberts 2001
277945;0515124214;7;Inner Harbor (Quinn Brothers (Paperback));Nora Roberts;2001;webster groves;missouri;usa;Adult;Inner Harbor (Quinn Brothers (Paperback)) Nora Roberts 2001
277945;0515134384;7;The Cat Who Went Up the Creek;Lilian Jackson Braun;2003;webster groves;missouri;usa;Adult;The Cat Who Went Up the Creek Lilian Jackson Braun 2003
277945;0515136379;7;Key of Knowledge (Key Trilogy (Paperback));Nora Roberts;2003;webster groves;missouri;usa;Adult;Key of Knowledge (Key Trilogy (Paperback)) Nora Roberts 2003
277945;0515136530;7;Key of Valor (Roberts, Nora. Key Trilogy, 3.);Nora Roberts;2003;webster groves;missouri;usa;Adult;Key of Valor (Roberts, Nora. Key Trilogy, 3.) Nora Roberts 2003
277945;0515137111;8;Birthright;Nora Roberts;2004;webster groves;missouri;usa;Adult;Birthright Nora Roberts 2004
277965;0316789089;5;The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover));Anita Shreve;1999;chula vista;california;usa;Adult;The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)) Anita Shreve 1999
277965;0385484518;10;Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson;MITCH ALBOM;1997;chula vista;california;usa;Adult;Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson MITCH ALBOM 1997
277965;0399141464;8;Cause of Death;Patricia Daniels Cornwell;1996;chula vista;california;usa;Adult;Cause of Death Patricia Daniels Cornwell 1996
277965;0399145087;7;Black Notice;Patricia Daniels Cornwell;1999;chula vista;california;usa;Adult;Black Notice Patricia Daniels Cornwell 1999
277965;0679457526;9;Into Thin Air : A Personal Account of the Mount Everest Disaster;JON KRAKAUER;1997;chula vista;california;usa;Adult;Into Thin Air : A Personal Account of the Mount Everest Disaster JON KRAKAUER 1997
277965;0684874350;10;ANGELA'S ASHES;Frank McCourt;1996;chula vista;california;usa;Adult;ANGELA'S ASHES Frank McCourt 1996
277965;0786866845;9;Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole;Dr. Jerri Nielsen;2001;chula vista;california;usa;Adult;Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole Dr. Jerri Nielsen 2001
277965;0786881852;7;Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series);Richard Carlson;1997;chula vista;california;usa;Adult;Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series) Richard Carlson 1997
278026;0061009059;8;One for the Money (Stephanie Plum Novels (Paperback));Janet Evanovich;1995;east orange;new jersey;usa;Middle Age;One for the Money (Stephanie Plum Novels (Paperback)) Janet Evanovich 1995
278026;0061031410;8;Courting Trouble;Lisa Scottoline;2003;east orange;new jersey;usa;Middle Age;Courting Trouble Lisa Scottoline 2003
278026;0061094129;8;Legal Tender;Lisa Scottoline;1997;east orange;new jersey;usa;Middle Age;Legal Tender Lisa Scottoline 1997
278026;0345440064;8;Death of a Stranger;ANNE PERRY;2003;east orange;new jersey;usa;Middle Age;Death of a Stranger ANNE PERRY 2003
278026;0380731851;5;Mystic River;Dennis Lehane;2002;east orange;new jersey;usa;Middle Age;Mystic River Dennis Lehane 2002
278026;0380820889;8;Blindsighted;Karin Slaughter;2002;east orange;new jersey;usa;Middle Age;Blindsighted Karin Slaughter 2002
278026;038533558X;9;Gone For Good;HARLAN COBEN;2002;east orange;new jersey;usa;Middle Age;Gone For Good HARLAN COBEN 2002
278026;0399142649;8;The Maze;Catherine Coulter;1997;east orange;new jersey;usa;Middle Age;The Maze Catherine Coulter 1997
278026;0446527041;8;The Crush;Sandra Brown;2002;east orange;new jersey;usa;Middle Age;The Crush Sandra Brown 2002
278026;0446612510;8;The Fourth Perimeter;Tim Green;2003;east orange;new jersey;usa;Middle Age;The Fourth Perimeter Tim Green 2003
